Cipher,LUT,bit_slice,Permutation,Involution,Diff,DiffFreq,Diff1,CardD1,Lin,LinFreq,Lin1,CardL1,max_degree,min_degree,MaxDegreeFreq,MinDegreeFreq,Max_ProductDegrees,LS_number,"max_v (v, w)-linear","max_w (v, w)-linear",Optimal_Class,Cost (GE) TSMC65nm,Cost is Best ,inv_LUT,inv_bit_slice,inv_max_degree,inv_min_degree,inv_MaxDegreeFreq,inv_MinDegreeFreq,inv_Max_ProductDegrees,inv_LS_number,"inv_max_v (v, w)-linear","inv_max_w (v, w)-linear",inv_Optimal_Class
Serpent_type_S10,00030508060d0f01090c020b0a07040e,9b68_e274_bc52_29e6,True,False,4,24,0,0,8,36,8,7,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2,0,-,00070a010e02040d03080c0b09050f06,5e94_e4d2_c936_798a,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0
Serpent_type_S9,00030508060c0f020e090b070d0a0401,3768_5974_2dd2_9e46,True,False,4,24,0,0,8,36,8,7,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0,0,-,000f07010e02040b03090d0a050c0806,6e92_b456_89b6_178e,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2
Serpent_type_S19,0003050a070c0b060d0402090e01080f,d968_93b4_94da_a956,True,False,4,24,0,0,8,36,4,8,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0,0,-,000d0a01090207040e0b030605080c0f,e316_d9c2_8f64_965a,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2
Serpent_type_S18,000305080b0c060f0e090207040a0d01,63b8_59e4_2dd2_ca96,True,False,4,24,0,0,8,36,4,8,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1,0,-,000f0a010c02060b03090d04050e0807,6696_bc52_a1e6_978a,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1
Serpent_type_S14,000305080704090e0f06020b0a0d0c01,79c8_63b4_1f92_a956,True,False,4,24,0,0,8,36,4,8,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G2,0,-,000f0a010502090403060c0b0e0d0708,bc46_7692_5b26_695a,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G0
Serpent_type_S13,00030508060f0a0107090e040b0c0d02,7668_6d34_9572_53a6,True,False,4,18,0,0,8,32,4,8,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9,0,-,00070f010b0204080309060c0d0e0a05,7a94_bc46_6536_931e,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9
Serpent_type_S0,00030506070a0b0c0d040e090801020f,9de0_879c_c47a_a956,True,False,4,24,0,0,8,36,4,8,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1,0,-,000d0e01090203040c0b050607080a0f,e316_9d86_da64_965a,3,2,12,3,[3|3|3|4],9,"(3, 2)","(2, 3)",G1
Serpent_type_S3,00030508060a0f040e0d090201070c0b,c768_63d4_a972_b646,True,False,4,18,0,0,8,32,4,8,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G10,0,-,000c0b010702040d030a050f0e090806,7a86_9cd2_9b34_2d9c,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G10
Serpent_type_S5,00030508060c0b070a04090e0f01020d,9d68_9ab4_59d2_b4c6,True,False,4,18,0,0,8,32,4,8,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G10,0,-,000d0e0109020407030a0806050f0b0c,e616_b8c6_6ba4_719a,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G10
Serpent_type_S4,00030508060c0b07090e0a0d0f020104,1f68_9ab4_36d2_59c6,True,False,4,18,0,0,8,32,4,8,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9,0,-,000e0d010f02040703080a06050b090c,e616_98d6_2db2_719c,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G9
Golden_S2,00030508060a0f040e0d090201070c0b,c768_63d4_a972_b646,True,False,4,18,0,0,8,32,4,8,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G10,0,-,000c0b010702040d030a050f0e090806,7a86_9cd2_9b34_2d9c,3,2,14,1,[3|3|3|4],3,"(3, 1)","(1, 3)",G10
