Cipher,LUT,bit_slice,Permutation,Involution,Diff,DiffFreq,Diff1,CardD1,Lin,LinFreq,Lin1,CardL1,max_degree,min_degree,MaxDegreeFreq,MinDegreeFreq,Max_ProductDegrees,LS_number,"max_v (v, w)-linear","max_w (v, w)-linear",Optimal_Class,Cost (GE) TSMC65nm,Cost is Best ,inv_LUT,inv_bit_slice,inv_max_degree,inv_min_degree,inv_MaxDegreeFreq,inv_MinDegreeFreq,inv_Max_ProductDegrees,inv_LS_number,"inv_max_v (v, w)-linear","inv_max_w (v, w)-linear",inv_Optimal_Class
109,04080102030e060700090a0b0c0d050f,be22_f0e1_8cf8_ea94,True,False,6,3,6,6,12,2,12,12,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,08020304000e060701090a0b0c0d050f,be21_f0e8_8ce6_eb84,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-
110,08000102030b060704090a050c0d0e0f,f621_f9c0_c4f8_aab4,True,False,6,3,6,6,12,2,8,11,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,01020304080b060700090a050c0d0e0f,f630_f8c8_c4e6_aaa5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
111,0608010203050e0700090a0b0c0d040f,be42_f0e1_8cd9_aab4,True,False,6,3,6,6,12,2,12,7,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-,0,-,080203040e05000701090a0b0c0d060f,be11_f0b8_cc96_aba4,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
112,040801020305060d00090a0b0c070e0f,de82_f0e1_ec58_aab4,True,False,6,3,4,8,12,2,12,9,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,080203040005060d01090a0b0c070e0f,de81_f0e8_ec46_aba4,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
113,0408010203050607000f0a0b0c0d0e09,fe02_72e1_4ed8_aab4,True,False,6,3,6,7,12,2,12,7,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,0802030400050607010f0a0b0c0d0e09,fe01_72e8_4ec6_aba4,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
114,040801020305060700090a0e0c0d0b0f,fe02_b8e1_ccd8_e2b4,True,False,6,3,4,8,12,2,12,8,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-,0,-,080203040005060701090a0e0c0d0b0f,fe01_b8e8_ccc6_e3a4,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
115,080001020305060904070a0b0c0d0e0f,fc81_f360_ce58_aab4,True,False,6,3,6,6,12,2,8,10,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,010203040805060900070a0b0c0d0e0f,fc90_f268_ce46_aaa5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
116,0f00010a020506070409030b0c0d0e08,fa09_71e1_4cd9_2ea5,True,False,6,4,6,9,12,2,8,10,3,3,15,15,[3|3|3|4],2,"(2, 2)","(1, 3)",-,0,-,0102040a080506070f09030b0c0d0e00,7b18_71e4_4dca_2fa1,3,3,15,15,[3|3|3|4],2,"(2, 2)","(1, 3)",-
117,02000108030f060704090a0b0c0d0e05,7e28_f1e0_4cf1_aab4,True,False,6,4,6,9,12,2,12,10,3,3,15,15,[3|3|3|4],2,"(2, 2)","(1, 3)",-,0,-,01020004080f060703090a0b0c0d0e05,7e30_f0e8_4de2_aba1,3,3,15,15,[3|3|3|4],2,"(2, 2)","(1, 3)",-
118,0400010802050f0703090a0b0c0d0e06,7e48_f0e1_cdd0_2be4,True,False,6,4,6,8,12,2,12,8,3,3,15,15,[3|3|3|4],2,"(2, 2)","(1, 3)",-,0,-,0102040800050f0703090a0b0c0d0e06,7e48_f0e4_cdc2_2be1,3,3,15,15,[3|3|3|4],2,"(2, 2)","(1, 3)",-
119,0608010b0305040700090a020c0d0e0f,f60a_f0e1_cc99_a2bc,True,False,6,4,6,6,12,2,12,7,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-,0,-,08020b040605000701090a030c0d0e0f,f605_f0b8_cc96_aba4,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-
120,04080102030a06070009050b0c0d0e0f,fa22_f4c1_c8f8_ae94,True,False,6,4,6,7,12,2,8,15,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,08020304000a06070109050b0c0d0e0f,fa21_f4c8_c8e6_af84,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
121,08000102030f060704090a0b0c0d0e05,7e21_f1e0_4cf8_aab4,True,False,6,4,6,8,12,2,12,9,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,01020304080f060700090a0b0c0d0e05,7e30_f0e8_4ce6_aaa5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
122,0408010203050b0700090a060c0d0e0f,f642_f8a1_ccd8_a2f4,True,False,6,4,6,7,12,2,12,10,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,0802030400050b0701090a060c0d0e0f,f641_f8a8_ccc6_a3e4,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
123,0408010203050d0700090a0b0c060e0f,de42_f0e1_ec98_8af4,True,False,6,4,6,6,12,2,12,11,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,0802030400050d0701090a0b0c060e0f,de41_f0e8_ec86_8be4,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-
124,040801020305060a0009070b0c0d0e0f,fa82_f461_ccd8_ae34,True,False,6,4,6,7,12,2,12,10,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,080203040005060a0109070b0c0d0e0f,fa81_f468_ccc6_af24,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
125,080001020305060d04090a0b0c070e0f,de81_f1e0_ec58_aab4,True,False,6,4,6,8,12,2,12,9,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,010203040805060d00090a0b0c070e0f,de90_f0e8_ec46_aaa5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-
126,0800010203050607040c0a0b090d0e0f,fe01_e3e0_ccd8_b8b4,True,False,6,4,6,7,12,2,12,8,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,0102030408050607000c0a0b090d0e0f,fe10_e2e8_ccc6_b8a5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
127,040801020305060700090f0b0c0d0e0a,fe02_74e1_ccd8_2eb4,True,False,6,4,6,8,12,2,12,7,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-,0,-,080203040005060701090f0b0c0d0e0a,fe01_74e8_ccc6_2fa4,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
128,040801020305090700060a0b0c0d0e0f,fc42_f2a1_ce98_a8f4,True,False,6,4,6,6,12,2,8,14,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,080203040005090701060a0b0c0d0e0f,fc41_f2a8_ce86_a9e4,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
129,080001020305060704090a0e0c0d0b0f,fe01_b9e0_ccd8_e2b4,True,False,6,4,6,8,12,2,12,8,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-,0,-,010203040805060700090a0e0c0d0b0f,fe10_b8e8_ccc6_e2a5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
130,0400010a020503070609080b0c0d0e0f,fe08_f1a1_c9d8_aae4,True,False,8,1,8,9,12,2,12,11,3,3,15,15,[3|3|3|4],2,"(2, 2)","(1, 3)",-,0,-,01020406000508070a09030b0c0d0e0f,fb40_f0ac_cd8a_aea1,3,3,15,15,[3|3|3|4],2,"(2, 2)","(1, 3)",-
131,0408010203050a070009060b0c0d0e0f,fa42_f4a1_ccd8_aab4,True,False,8,1,8,7,12,2,12,9,3,3,15,15,[3|3|3|4],2,"(2, 2)","(1, 3)",-,0,-,0802030400050a070109060b0c0d0e0f,fa41_f4a8_ccc6_aba4,3,3,15,15,[3|3|3|4],2,"(2, 2)","(1, 3)",-
132,08000b020305040706090a010c0d0e0f,f605_f1e0_c59c_aab4,True,False,8,1,8,7,12,2,12,8,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-,0,-,010b03040605080700090a020c0d0e0f,f642_f0b8_cc96_a2a7,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-
133,0800010203050b0706090a040c0d0e0f,f641_f9a0_c5d8_a2f4,True,False,8,1,8,6,12,2,8,12,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-,0,-,010203040b05080700090a060c0d0e0f,f650_f8a8_cc96_a2b5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-
134,08000c020305040706090a0b010d0e0f,ee05_e1e4_cd98_bab0,True,False,8,1,8,8,12,2,8,11,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,010c03040605080700090a0b020d0e0f,ee42_e0ba_dc94_aaa5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-
135,08000d020305040706090a0b0c010e0f,de05_d1e4_cd98_aab4,True,False,8,1,8,7,12,2,8,11,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-,0,-,010d03040605080700090a0b0c020e0f,de42_d0ba_ec94_8aa7,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
136,080001020e05040706090a0b0c0d030f,be11_b1f0_cd98_eaa4,True,False,8,1,8,6,12,2,12,10,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,0102030e0605080700090a0b0c0d040f,be48_f0b8_8c9e_aaa5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
137,080001020f05040706090a0b0c0d0e03,7e11_71f0_cd98_aab4,True,False,8,1,8,7,12,2,12,10,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,0102030f0605080700090a0b0c0d0e04,7e48_f0b8_4c9e_2aad,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
138,0600080203050b0701090a040c0d0e0f,f644_f8a1_c4d9_a3f0,True,False,8,1,8,7,12,2,8,14,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,010803040b05000702090a060c0d0e0f,f612_f8a8_cd94_a2b5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
139,0800010203050c0704090a0b060d0e0f,ee41_f1e0_dc98_aab4,True,False,8,1,8,8,12,2,12,9,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-,0,-,0102030408050c0700090a0b060d0e0f,ee50_f0e8_dc86_aaa5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-
140,040001080209060703050a0b0c0d0e0f,fc28_f2c1_cdd0_aba4,True,False,8,1,8,9,12,2,8,12,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-,0,-,010204080009060703050a0b0c0d0e0f,fc28_f2c4_cdc2_aba1,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-
141,080001020305060704090f0b0c0d0e0a,fe01_75e0_ccd8_2eb4,True,False,8,1,8,8,12,2,12,7,3,2,14,1,[3|3|3|4],5,"(3, 1)","(1, 3)",-,0,-,010203040805060700090f0b0c0d0e0a,fe10_74e8_ccc6_2ea5,3,2,14,1,[3|3|3|4],5,"(3, 1)","(2, 3)",-
142,0c0001020305040706090a0b080d0e0f,fe01_e1e1_cd98_aab4,True,False,8,1,8,4,12,2,12,6,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,01020304060508070c090a0b000d0e0f,ef40_e1b8_cc96_aaa5,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
143,0d0001020305040706090a0b0c080e0f,fe01_d1e1_cd98_8ab5,True,False,8,1,8,6,12,2,12,7,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,01020304060508070d090a0b0c000e0f,df40_d1b8_cc96_8ba5,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
144,080e01020305040706090a0b0c0d000f,be03_b1e2_8d9a_aab4,True,False,8,1,6,5,12,2,8,12,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,0e0203040605080700090a0b0c0d010f,be41_b0b9_8c97_eaa4,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
145,0800010f020506070409030b0c0d0e0a,fa09_71e8_ccd8_2eac,True,False,8,1,6,11,12,2,12,8,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,0102040a0805060700090f0b0c0d0e03,7e18_74e4_ccca_aea1,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
146,0800010b0305040706090a020c0d0e0f,f609_f1e0_cd98_a2bc,True,False,8,1,6,5,12,2,12,8,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,01020b040605080700090a030c0d0e0f,f644_f0b8_cc96_aaa5,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
147,0800010c0305040706090a0b020d0e0f,ee09_e1e8_dd90_aab4,True,False,8,1,8,6,12,2,8,13,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,01020c040605080700090a0b030d0e0f,ee44_e0bc_dc92_baa1,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
148,060801020b05040700090a030c0d0e0f,f612_f0e1_cc99_aab4,True,False,8,1,6,5,12,2,12,7,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,0802030b0605000701090a040c0d0e0f,f609_f8b0_c49e_a3ac,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
149,060801020d05040700090a0b0c030e0f,de12_d0f1_ec89_aab4,True,False,8,1,6,6,12,2,12,9,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,0802030d0605000701090a0b0c040e0f,de09_f0b8_cc96_8bac,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
150,0800010203050f0706090a0b0c0d0e04,7e41_f1e0_4dd8_2af4,True,False,8,1,8,6,12,2,12,9,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,010203040f05080700090a0b0c0d0e06,7e50_f0b8_cc96_2ab5,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
151,0800010602050f0704090a0b0c0d0e03,7e41_71e8_ccd8_aae4,True,False,8,1,6,9,12,2,12,8,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,0102040f0805030700090a0b0c0d0e06,7e18_f0ac_ccca_2ae9,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
152,040008020305060b01090a070c0d0e0f,f684_f861_ccd8_abb0,True,False,8,1,6,9,12,2,12,11,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,010803040005060b02090a070c0d0e0f,f682_f868_cdc4_aaa5,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
153,040801020305060700090a0b0e0d0c0f,fe02_f0e1_9cd8_aab4,True,False,8,1,8,6,12,2,12,7,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,080203040005060701090a0b0e0d0c0f,fe01_f0e8_9cc6_aba4,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
154,040801020305060700090a0b0c0f0e0d,fe02_f0e1_6cd8_aab4,True,False,8,1,8,6,12,2,12,7,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,080203040005060701090a0b0c0f0e0d,fe01_f0e8_6cc6_aba4,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
155,08000f020305040706090a0b0c0d0e01,7e05_71e4_4d9c_aab4,True,False,8,2,8,5,12,2,8,10,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-,0,-,010f03040605080700090a0b0c0d0e02,7e42_70ba_cc96_2aa7,3,2,12,3,[3|3|3|4],11,"(3, 2)","(2, 3)",-
156,0800010902050607040f0a0b0c0d0e03,7e09_73e0_ced0_aaac,True,False,6,4,6,10,12,3,12,10,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,0102040f0805060700030a0b0c0d0e09,fc18_70ec_4eca_aaa9,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
157,040001080205060703090d0b0c0a0e0f,fe08_d4e1_e9d0_8fa4,True,False,6,4,6,7,12,3,12,13,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,010204080005060703090d0b0c0a0e0f,fe08_d4e4_e9c2_8fa1,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
158,0b0001020305060704090a0d0c080e0f,fe01_d9e0_c4d9_8ab5,True,False,6,5,6,9,12,3,12,10,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,01020304080506070d090a000c0b0e0f,f710_d1e8_e4c6_a3a5,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
159,02000108030c060704090a0b050d0e0f,ee28_f1e0_ccd1_ba94,True,False,6,5,6,9,12,3,12,11,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,01020004080c060703090a0b050d0e0f,ee30_f0e8_cdc2_bb81,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
160,04000108020a06070309050b0c0d0e0f,fa28_f4c1_c9f0_af84,True,False,6,5,6,9,12,3,8,13,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,01020408000a06070309050b0c0d0e0f,fa28_f4c4_c9e2_af81,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
161,0200010803050607040d0a0b0c090e0f,fe08_d3e0_ccd1_aab4,True,False,6,5,6,8,12,3,12,10,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,0102000408050607030d0a0b0c090e0f,fe10_d2e8_cdc2_aba1,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
162,040001080205090703060a0b0c0d0e0f,fc48_f2a1_cf90_a9e4,True,False,6,5,6,7,12,3,8,12,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,010204080005090703060a0b0c0d0e0f,fc48_f2a4_cf82_a9e1,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
163,04000802030b060701090a050c0d0e0f,f624_f8c1_c4f8_abb0,True,False,6,5,6,7,12,3,8,12,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,01080304000b060702090a050c0d0e0f,f622_f8c8_c5e4_aaa5,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
164,08000102030e060704090a0b0c0d050f,be21_f1e0_8cf8_ea94,True,False,6,5,6,6,12,3,12,13,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,01020304080e060700090a0b0c0d050f,be30_f0e8_8ce6_ea85,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
165,020001030804060e05090a0b0c0d070f,be90_f1e0_ccc9_eb0c,True,False,6,5,6,8,12,3,12,10,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,010200030508060e04090a0b0c0d070f,bea0_f1d0_ccca_ea19,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
166,080001020305060c04090a0b070d0e0f,ee81_f1e0_dc58_ba34,True,False,6,5,6,6,12,3,12,13,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,010203040805060c00090a0b070d0e0f,ee90_f0e8_dc46_ba25,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
167,0400010802050607030c0a0b090d0e0f,fe08_e2e1_cdd0_b9a4,True,False,6,5,6,8,12,3,12,12,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,0102040800050607030c0a0b090d0e0f,fe08_e2e4_cdc2_b9a1,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
168,0800010203050607040d0a0b0c090e0f,fe01_d3e0_ccd8_aab4,True,False,6,5,6,6,12,3,12,7,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,0102030408050607000d0a0b0c090e0f,fe10_d2e8_ccc6_aaa5,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
169,040001080205060703090a0e0c0d0b0f,fe08_b8e1_cdd0_e3a4,True,False,6,5,6,8,12,3,12,12,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,010204080005060703090a0e0c0d0b0f,fe08_b8e4_cdc2_e3a1,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
170,080001020305060704090a0f0c0d0e0b,fe01_79e0_ccd8_aab4,True,False,6,5,6,6,12,3,12,7,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,010203040805060700090a0f0c0d0e0b,fe10_78e8_ccc6_aaa5,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
171,0400010f0205060703090a0b0c0d0e08,fe08_70e9_4dd8_2bac,True,False,6,6,6,8,12,3,12,9,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,01020408000506070f090a0b0c0d0e03,7f08_71e4_cdc2_aba1,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
172,080e01020305060704090a0b0c0d000f,be03_b1e2_8cda_aab4,True,False,6,6,6,5,12,3,8,12,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,0e0203040805060700090a0b0c0d010f,be11_b0e9_8cc7_eaa4,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
173,080f01020305060704090a0b0c0d0e00,7e03_71e2_4cda_2ab6,True,False,6,6,6,5,12,3,8,10,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,0f0203040805060700090a0b0c0d0e01,7e11_70e9_4cc7_aaa5,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
174,0400010d0205060703090a0b0c080e0f,fe08_d0e9_cdd0_8bac,True,False,6,6,6,7,12,3,12,13,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,01020408000506070d090a0b0c030e0f,df08_d1e4_ecc2_aba1,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
175,0800010d0305060704090a0b0c020e0f,de09_d1e8_ecd0_8abc,True,False,6,6,6,6,12,3,8,11,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,01020d040805060700090a0b0c030e0f,de14_d0ec_ecc2_aaa5,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
176,08000102030c060704090a0b050d0e0f,ee21_f1e0_ccd8_ba94,True,False,6,6,6,7,12,3,12,9,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,01020304080c060700090a0b050d0e0f,ee30_f0e8_ccc6_ba85,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
177,080001020305060e04090a0b0c0d070f,be81_f1e0_ccd8_ea34,True,False,6,6,6,7,12,3,12,9,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,010203040805060e00090a0b0c0d070f,be90_f0e8_ccc6_ea25,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
178,04080e020305060700090a0b0c0d010f,be06_b0e5_8cdc_eab0,True,False,6,7,6,7,12,3,12,10,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,080e03040005060701090a0b0c0d020f,be03_b0ea_ccc6_aba4,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
179,08000102030a06070409050b0c0d0e0f,fa21_f5c0_c8f8_ae94,True,False,8,1,8,8,12,3,8,15,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,01020304080a06070009050b0c0d0e0f,fa30_f4c8_c8e6_ae85,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
180,0400080203050b0701090a060c0d0e0f,f644_f8a1_ccd8_a3f0,True,False,8,1,8,9,12,3,12,12,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,0108030400050b0702090a060c0d0e0f,f642_f8a8_cdc4_a2e5,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
181,080001020305090704060a0b0c0d0e0f,fc41_f3a0_ce98_a8f4,True,False,8,1,8,7,12,3,8,15,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,010203040805090700060a0b0c0d0e0f,fc50_f2a8_ce86_a8e5,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
182,0800010203050b0704090a060c0d0e0f,f641_f9a0_ccd8_a2f4,True,False,8,1,8,8,12,3,12,11,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-,0,-,0102030408050b0700090a060c0d0e0f,f650_f8a8_ccc6_a2e5,3,3,15,15,[3|3|3|4],3,"(2, 2)","(1, 3)",-
183,0806010d0305000704090a0b0c020e0f,de09_d1aa_ec92_8abc,True,False,8,1,6,6,12,3,8,12,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,06020d040805010700090a0b0c030e0f,de14_d0ad_ec83_aae4,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
184,0200010308040d0705090a0b0c060e0f,de50_f1e0_ec89_8bcc,True,False,8,1,8,7,12,3,12,12,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,0102000305080d0704090a0b0c060e0f,de60_f1d0_ec8a_8ad9,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
185,0400010802050a070309060b0c0d0e0f,fa48_f4a1_cdd0_aba4,True,False,8,1,8,8,12,3,8,12,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,0102040800050a070309060b0c0d0e0f,fa48_f4a4_cdc2_aba1,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
186,0800010203050d0704090a0b0c060e0f,de41_f1e0_ec98_8af4,True,False,8,1,8,6,12,3,12,13,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,0102030408050d0700090a0b0c060e0f,de50_f0e8_ec86_8ae5,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
187,040001080205060703090a0b0e0d0c0f,fe08_f0e1_9dd0_aba4,True,False,8,1,8,7,12,3,12,10,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,010204080005060703090a0b0e0d0c0f,fe08_f0e4_9dc2_aba1,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
188,080001020305060704090e0b0c0d0a0f,fe01_b5e0_ccd8_aab4,True,False,8,1,8,6,12,3,12,7,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-,0,-,010203040805060700090e0b0c0d0a0f,fe10_b4e8_ccc6_aaa5,3,2,14,1,[3|3|3|4],6,"(3, 1)","(2, 3)",-
